key,population,cases
08327,139397,0
08335,284015,0
08336,228314,0
08337,170198,0
08415,285754,0
08416,225755,0
08417,188170,0
08421,125596,0
08425,194629,0
08426,198265,0
08435,214655,0
08436,283264,0
08437,130192,0
09161,135244,0
09162,1456039,0
09163,63080,0
09171,110338,0
09172,105052,0
09173,126572,0
09174,152703,0
09175,140800,0
09176,131646,0
09177,136884,0
09178,177997,0
09179,217831,0
09180,88155,0
09181,119141,0
09182,99189,0
09183,114486,0
09184,346433,0
09185,96164,0
09186,126244,0
09187,259449,0
09188,135545,0
09189,176290,0
09190,134252,0
09261,71193,0
09262,51781,0
09263,47586,0
09271,118741,0
09272,78345,0
09273,121119,0
09274,157239,0
09275,190504,0
09276,77489,0
09277,120371,0
09278,99838,0
09279,95831,0
09361,42248,0
09362,150894,0
09363,42543,0
09371,102836,0
09372,127339,0
09373,132644,0
09374,94486,0
09375,192200,0
09376,146487,0
09377,72730,0
09461,77179,0
09462,73999,0
09463,41236,0
09464,45950,0
09471,146584,0
09472,103805,0
09473,86885,0
09474,115681,0
09475,95773,0
09476,67474,0
09477,72012,0
09478,66777,0
09479,73485,0
09561,41652,0
09562,110998,0
09563,126526,0
09564,515201,0
09565,40781,0
09571,183256,0
09572,135334,0
09573,116193,0
09574,169752,0
09575,99641,0
09576,126101,0
09577,94208,0
09661,69928,0
09662,53437,0
09663,126635,0
09671,173969,0
09672,103265,0
09673,79796,0
09674,84464,0
09675,90429,0
09676,128484,0
09677,126523,0
09678,115105,0
09679,161340,0
09761,292851,0
09762,43478,0
09763,68330,0
09764,43470,0
09771,132596,0
09772,249838,0
09773,95159,0
09774,124519,0
09775,172546,0
09776,81148,0
09777,139278,0
09778,142544,0
09779,133043,0
09780,154568,0
10041,330150,0
10042,103656,0
10043,133297,0
10044,195815,0
10045,143402,0
10046,87867,0
12051,71886,0
12052,101036,0
12053,58237,0
12054,175710,0
12060,180864,0
12061,167319,0
12062,103455,0
12063,160710,0
12064,192921,0
12065,209893,0
12066,111122,0
12067,178347,0
12068,99368,0
12069,213214,0
12070,77263,0
12071,115456,0
12072,166890,0
12073,120349,0
13003,208409,0
13004,95797,0
13071,260574,0
13072,214635,0
13073,225123,0
14713,581980,0
14729,258008,0
14730,197794,0
15001,82111,0
15002,239173,0
15003,238478,0
15081,84457,0
15082,161264,0
15083,172619,0
15084,181968,0
15085,216299,0
15086,90465,0
15087,138013,0
15088,185494,0
15089,192739,0
15090,113186,0
15091,126815,0
16051,212988,0
16052,94859,0
16053,111099,0
16054,35166,0
16055,64426,0
16056,42710,0
16061,100645,0
16062,84697,0
16063,123764,0
16064,103504,0
16065,75818,0
16066,122952,0
16067,135521,0
16068,70027,0
16069,63923,0
16070,108830,0
16071,82131,0
16072,56361,0
16073,107368,0
16074,82990,0
16075,81501,0
16076,99275,0
16077,90650,0
11012,265225,0
11004,342332,0
11009,271153,0
11003,407765,0
11008,329691,0
11011,291452,0
11010,268548,0
11005,243977,0
11006,308697,0
11001,384172,0
11002,289762,0
11007,351644,0
